[stream] event conversation_created {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{},"event_id":"b9300f22-f3ee-4fe3-b20e-5736ec092710","event_type":"conversation_created","sequence_number":7,"timestamp":"2026-04-06T21:59:55Z"}
use-conversation-stream.ts:83 [stream] event message_received {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"content":"hi friend. what can you help me do?"},"event_id":"5369a43f-943e-4724-a6c7-ec3bfca8986a","event_type":"message_received","sequence_number":8,"timestamp":"2026-04-06T22:00:04Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" (","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c0c27168-cf4e-4645-bd5a-e4b8752af4ca","event_type":"response_chunk","sequence_number":71,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"bash","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"9890d6e6-3566-4e04-9fbd-d3389b061653","event_type":"response_chunk","sequence_number":72,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"8d70b502-b5a8-44f2-b5ef-1508ff1dd575","event_type":"response_chunk","sequence_number":73,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" git","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"03efb534-024a-45ea-ac5d-b7adbb6bcfb1","event_type":"response_chunk","sequence_number":74,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"72649cff-914f-4209-a9d5-79777a50ef0d","event_type":"response_chunk","sequence_number":75,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" npm","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c4d824d7-4291-4b4c-8712-4884f64ae6cb","event_type":"response_chunk","sequence_number":76,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"d6e7e817-47ef-46f9-92bf-d777671a9bee","event_type":"response_chunk","sequence_number":77,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" docker","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"f2624864-3c01-48ff-94b2-f0c87db6c8bf","event_type":"response_chunk","sequence_number":78,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7b4c2339-667f-4435-bb36-81a75ff0034c","event_type":"response_chunk","sequence_number":79,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" etc","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e9ea45bf-e3c7-4264-a858-79c4624799b3","event_type":"response_chunk","sequence_number":80,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":".)\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"4f7bfdfc-0df5-4bdd-b226-3d9589398bfc","event_type":"response_chunk","sequence_number":81,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"85f83688-8163-45e9-afde-bfae3da1b076","event_type":"response_chunk","sequence_number":82,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5f9a2730-7daa-4cc6-88fa-516efe8094a8","event_type":"response_chunk","sequence_number":83,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Code","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7d500099-4e8c-44e3-a9bd-41357f2893ad","event_type":"response_chunk","sequence_number":84,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" intelligence","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"abd91ea9-a8b0-48df-8f48-1c35d93f834f","event_type":"response_chunk","sequence_number":85,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c796a138-decd-498d-b4a7-15a289d70ec2","event_type":"response_chunk","sequence_number":86,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" (","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5e8ecab2-29a9-433c-9d2f-ecff6eaa30c0","event_type":"response_chunk","sequence_number":87,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"go","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"cda2d54e-6901-448a-a2bc-0a487c394ad6","event_type":"response_chunk","sequence_number":88,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-to","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"39ce4e6b-eba5-47c4-b160-6c11399b10c1","event_type":"response_chunk","sequence_number":89,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-definition","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"b8705e80-c915-4877-bd13-507b37b8a150","event_type":"response_chunk","sequence_number":90,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"b9e64f64-b88c-477b-b594-f28a9050a01e","event_type":"response_chunk","sequence_number":91,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" find","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"91879278-985f-4c19-866e-79a745e90306","event_type":"response_chunk","sequence_number":92,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" references","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"107a150f-412b-4b42-a059-374ebe56f0a6","event_type":"response_chunk","sequence_number":93,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":",","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e78f8945-d68c-48b8-ac4b-158de80061a4","event_type":"response_chunk","sequence_number":94,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" diagnostics","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"301b20d4-d7d1-41ef-8031-e7a083dcb5c1","event_type":"response_chunk","sequence_number":95,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" via","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"95ebe270-fe23-44f4-b68c-53f81674491a","event_type":"response_chunk","sequence_number":96,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" L","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"81e03666-6c6d-429d-8454-3c7f9d4d4294","event_type":"response_chunk","sequence_number":97,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"SP","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"90f18306-e7b6-445e-8bf9-d02a23f7909c","event_type":"response_chunk","sequence_number":98,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":")\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e62842c2-da80-4893-8d24-0997f061c56c","event_type":"response_chunk","sequence_number":99,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"a2097e7e-d21e-48d9-aee8-c28094ad1476","event_type":"response_chunk","sequence_number":100,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"787ea92a-2b7c-4708-ab05-2600c93bdc2f","event_type":"response_chunk","sequence_number":101,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Create","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"d5f919de-4d50-4b35-b712-0c31f82e21db","event_type":"response_chunk","sequence_number":102,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" and","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"3fee0c8c-8760-453a-b3c4-5f6bdf254915","event_type":"response_chunk","sequence_number":103,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" apply","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"7bae1002-c678-4ce4-88a6-9241cf2c1ace","event_type":"response_chunk","sequence_number":104,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" patches","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"39869f26-8369-43cb-aaa0-dbca754617f9","event_type":"response_chunk","sequence_number":105,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"6c2af91c-4e43-412d-a74c-40ff0a3c9017","event_type":"response_chunk","sequence_number":106,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" for","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"786affdb-df31-4aa2-92f5-74e9b48c7aa9","event_type":"response_chunk","sequence_number":107,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" complex","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"89dbdf35-136f-4485-a7d0-26b708930fde","event_type":"response_chunk","sequence_number":108,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" multi","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"8324b536-69f4-4fee-ae5f-2c89217aab4d","event_type":"response_chunk","sequence_number":109,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-file","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"2ad0803c-66c7-4a31-a3d1-b3a301bbd916","event_type":"response_chunk","sequence_number":110,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" changes","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e487fad2-ed6e-4856-b61e-c20bac9678f8","event_type":"response_chunk","sequence_number":111,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"82c11809-5d44-446c-a478-4af826ec8474","event_type":"response_chunk","sequence_number":112,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"bdf95f17-45da-43fc-a1bb-32519b4b1d51","event_type":"response_chunk","sequence_number":113,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5fdf3cb0-b9f8-4a64-a92c-7dab3f906162","event_type":"response_chunk","sequence_number":114,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Build","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"5649e611-85dc-4bd4-be2b-e7ae3e8b0259","event_type":"response_chunk","sequence_number":115,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" and","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"02481fdb-2cf4-4280-9212-292e2cea6497","event_type":"response_chunk","sequence_number":116,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" test","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"6a97d52e-65fb-43ee-9ce9-3c4ede7031f4","event_type":"response_chunk","sequence_number":117,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"b236de25-08ab-44a4-a67e-e9be06b68808","event_type":"response_chunk","sequence_number":118,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" your","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"21b19c2f-703f-4c80-bc41-1ff36a0e0d7b","event_type":"response_chunk","sequence_number":119,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" projects","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"441e636f-381f-4228-99bc-202db79fa810","event_type":"response_chunk","sequence_number":120,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"\n\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"eb3c973f-af3c-478f-a707-9395f17f8516","event_type":"response_chunk","sequence_number":121,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"##","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"edc598cd-927f-46f3-9ab2-cbefe6021b6a","event_type":"response_chunk","sequence_number":122,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" 🔍","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"687cc483-0d47-44e3-9be8-3b5ce63b6cf8","event_type":"response_chunk","sequence_number":123,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"69647bc8-d528-4e51-b378-e29aa2206f02","event_type":"response_chunk","sequence_number":124,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Research","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"e12d6393-9c57-4d11-9a6e-51c3ba285ef2","event_type":"response_chunk","sequence_number":125,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" \u0026","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"f5042e33-a8b1-44a0-84a9-e652e15d28d9","event_type":"response_chunk","sequence_number":126,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" Analysis","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"b90f5cdb-e7e9-4b3b-b729-093ffd8b5f70","event_type":"response_chunk","sequence_number":127,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"**\n","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c05deb82-28b0-4d7b-9128-5cc051295875","event_type":"response_chunk","sequence_number":128,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"-","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"fa5438e0-4e5f-47c2-b75e-2b0184dceeb1","event_type":"response_chunk","sequence_number":129,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" **","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"233c5ca7-7050-48c2-a88a-a30d79bec29a","event_type":"response_chunk","sequence_number":130,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":"Fetch","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"a541e785-4e75-49e8-92fe-64b920c8f13a","event_type":"response_chunk","sequence_number":131,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" web","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c17ccc77-bacf-4e41-abd9-acfbb67e55b9","event_type":"response_chunk","sequence_number":132,"timestamp":"2026-04-06T22:00:09Z"}
use-conversation-stream.ts:83 [stream] event response_chunk {"agent_id":"38ffaace-f869-42be-bb0d-d30429e9016a","conversation_id":"0fc5ab5f-73f9-4d1b-9b7d-56069adf732a","data":{"delta":" pages","message_id":"921d1af6-668f-4a83-b0ab-d69e44a5b046"},"event_id":"c3feece5-bfbf-4fc7-859b-b1e05098f9b4","event_type":"response_chunk","sequence_number":133,"timestamp":"2026-04-06T22:00:09Z"}
